ENSMUSG00000083764	ENSMUST00000118450
ENSMUSG00000086226	ENSMUST00000123764
ENSMUSG00000086227	ENSMUST00000139614
ENSMUSG00000086220	ENSMUST00000148082
ENSMUSG00000086221	ENSMUST00000149239
ENSMUSG00000086222	ENSMUST00000148136
ENSMUSG00000086228	ENSMUST00000147185
ENSMUSG00000086229	ENSMUST00000122230
ENSMUSG00000081643	ENSMUST00000120413
ENSMUSG00000081642	ENSMUST00000120373
ENSMUSG00000081641	ENSMUST00000119554
ENSMUSG00000081640	ENSMUST00000122125
ENSMUSG00000081647	ENSMUST00000121181
ENSMUSG00000081646	ENSMUST00000119550
ENSMUSG00000081649	ENSMUST00000121958
ENSMUSG00000081648	ENSMUST00000117205
ENSMUSG00000094678	ENSMUST00000077023
ENSMUSG00000098558	ENSMUST00000183983
ENSMUSG00000085551	ENSMUST00000130205
ENSMUSG00000085550	ENSMUST00000148293
ENSMUSG00000085556	ENSMUST00000147142
ENSMUSG00000098550	ENSMUST00000184697
ENSMUSG00000094672	ENSMUST00000162046
ENSMUSG00000098555	ENSMUST00000183490
ENSMUSG00000094675	ENSMUST00000179359
ENSMUSG00000094676	ENSMUST00000184601
ENSMUSG00000094677	ENSMUST00000104810
ENSMUSG00000089416	ENSMUST00000158791
ENSMUSG00000089417	ENSMUST00000158792
ENSMUSG00000089414	ENSMUST00000158789
ENSMUSG00000089415	ENSMUST00000158790
ENSMUSG00000089413	ENSMUST00000158788
ENSMUSG00000089410	ENSMUST00000158785
ENSMUSG00000077090	ENSMUST00000103902
ENSMUSG00000077096	ENSMUST00000103908
ENSMUSG00000089418	ENSMUST00000158793
ENSMUSG00000085885	ENSMUST00000124792
ENSMUSG00000085884	ENSMUST00000146222
ENSMUSG00000085887	ENSMUST00000124462
ENSMUSG00000085886	ENSMUST00000148318
ENSMUSG00000085881	ENSMUST00000128914
ENSMUSG00000085880	ENSMUST00000146636
ENSMUSG00000085882	ENSMUST00000154354
ENSMUSG00000085889	ENSMUST00000125654
ENSMUSG00000100172	ENSMUST00000186660
ENSMUSG00000077549	ENSMUST00000104361
ENSMUSG00000070527	ENSMUST00000094340
ENSMUSG00000077545	ENSMUST00000104357
ENSMUSG00000077547	ENSMUST00000104359
ENSMUSG00000077546	ENSMUST00000104358
ENSMUSG00000077541	ENSMUST00000104353
ENSMUSG00000077543	ENSMUST00000104355
ENSMUSG00000077542	ENSMUST00000104354
ENSMUSG00000095108	ENSMUST00000178553
ENSMUSG00000084682	ENSMUST00000122733
ENSMUSG00000084683	ENSMUST00000122734
ENSMUSG00000084684	ENSMUST00000122735
ENSMUSG00000084686	ENSMUST00000122737
ENSMUSG00000095101	ENSMUST00000179725
ENSMUSG00000095100	ENSMUST00000180346
ENSMUSG00000095103	ENSMUST00000180048
ENSMUSG00000095102	ENSMUST00000083227
ENSMUSG00000095105	ENSMUST00000179308
ENSMUSG00000095104	ENSMUST00000178929
ENSMUSG00000095107	ENSMUST00000176836
ENSMUSG00000098083	ENSMUST00000182082
ENSMUSG00000098082	ENSMUST00000182867
ENSMUSG00000098081	ENSMUST00000182391
ENSMUSG00000098080	ENSMUST00000182596
ENSMUSG00000098087	ENSMUST00000182477
ENSMUSG00000098085	ENSMUST00000182028
ENSMUSG00000098084	ENSMUST00000182262
ENSMUSG00000043262	ENSMUST00000094398
ENSMUSG00000098089	ENSMUST00000183080
ENSMUSG00000098088	ENSMUST00000183304
ENSMUSG00000043267	ENSMUST00000050942
ENSMUSG00000080590	ENSMUST00000116940
ENSMUSG00000080592	ENSMUST00000116942
ENSMUSG00000080594	ENSMUST00000116944
ENSMUSG00000080595	ENSMUST00000116945
ENSMUSG00000080596	ENSMUST00000116946
ENSMUSG00000080597	ENSMUST00000116947
ENSMUSG00000108627	ENSMUST00000205627
ENSMUSG00000035278	ENSMUST00000036805
ENSMUSG00000034435	ENSMUST00000042975
ENSMUSG00000034437	ENSMUST00000075650
ENSMUSG00000083488	ENSMUST00000118553
ENSMUSG00000083487	ENSMUST00000119148
ENSMUSG00000083486	ENSMUST00000119545
ENSMUSG00000083485	ENSMUST00000120440
ENSMUSG00000068120	ENSMUST00000181584
ENSMUSG00000083483	ENSMUST00000117531
ENSMUSG00000083482	ENSMUST00000117744
ENSMUSG00000083481	ENSMUST00000118709
ENSMUSG00000067835	ENSMUST00000152669
ENSMUSG00000044538	ENSMUST00000177182
ENSMUSG00000087908	ENSMUST00000157283
ENSMUSG00000087909	ENSMUST00000157284
ENSMUSG00000087904	ENSMUST00000157279
ENSMUSG00000087905	ENSMUST00000157280
ENSMUSG00000087902	ENSMUST00000157277
ENSMUSG00000087903	ENSMUST00000157278
ENSMUSG00000017720	ENSMUST00000017864
ENSMUSG00000078813	ENSMUST00000019878
ENSMUSG00000099758	ENSMUST00000186379
ENSMUSG00000099759	ENSMUST00000189625
ENSMUSG00000099750	ENSMUST00000188341
ENSMUSG00000099753	ENSMUST00000186421
ENSMUSG00000099754	ENSMUST00000174046
ENSMUSG00000099755	ENSMUST00000191466
ENSMUSG00000099756	ENSMUST00000188870
ENSMUSG00000098479	ENSMUST00000184760
ENSMUSG00000050295	ENSMUST00000062292
ENSMUSG00000093509	ENSMUST00000177242
ENSMUSG00000093505	ENSMUST00000176889
ENSMUSG00000093504	ENSMUST00000175772
ENSMUSG00000093503	ENSMUST00000176989
ENSMUSG00000093502	ENSMUST00000176749
ENSMUSG00000093501	ENSMUST00000177435
ENSMUSG00000050299	ENSMUST00000052867
ENSMUSG00000097618	ENSMUST00000181838
ENSMUSG00000097617	ENSMUST00000180670
ENSMUSG00000027401	ENSMUST00000110299
ENSMUSG00000097615	ENSMUST00000180623
ENSMUSG00000097614	ENSMUST00000181285
ENSMUSG00000097613	ENSMUST00000181220
ENSMUSG00000097612	ENSMUST00000180947
ENSMUSG00000100231	ENSMUST00000187922
ENSMUSG00000041130	ENSMUST00000047179
ENSMUSG00000104884	ENSMUST00000199140
ENSMUSG00000088147	ENSMUST00000157522
ENSMUSG00000064923	ENSMUST00000082989
ENSMUSG00000058603	ENSMUST00000121497
ENSMUSG00000064927	ENSMUST00000082993
ENSMUSG00000064926	ENSMUST00000082992
ENSMUSG00000064925	ENSMUST00000082991
ENSMUSG00000090346	ENSMUST00000164307
ENSMUSG00000064928	ENSMUST00000082994
ENSMUSG00000090341	ENSMUST00000166613
ENSMUSG00000090342	ENSMUST00000171523
ENSMUSG00000050439	ENSMUST00000096347
ENSMUSG00000101570	ENSMUST00000189360
ENSMUSG00000051528	ENSMUST00000053941
ENSMUSG00000094995	ENSMUST00000178236
ENSMUSG00000094994	ENSMUST00000179027
ENSMUSG00000094997	ENSMUST00000179176
ENSMUSG00000040775	ENSMUST00000075018
ENSMUSG00000094993	ENSMUST00000103345
ENSMUSG00000094992	ENSMUST00000163839
ENSMUSG00000094998	ENSMUST00000178442
ENSMUSG00000103361	ENSMUST00000192466
ENSMUSG00000064575	ENSMUST00000082641
ENSMUSG00000105806	ENSMUST00000199484
ENSMUSG00000105807	ENSMUST00000197229
ENSMUSG00000105804	ENSMUST00000200664
ENSMUSG00000105805	ENSMUST00000199509
ENSMUSG00000105802	ENSMUST00000198569
ENSMUSG00000105803	ENSMUST00000196666
ENSMUSG00000105800	ENSMUST00000196472
ENSMUSG00000105801	ENSMUST00000199517
ENSMUSG00000103365	ENSMUST00000195152
ENSMUSG00000057801	ENSMUST00000076245
ENSMUSG00000105808	ENSMUST00000197347
ENSMUSG00000105809	ENSMUST00000196866
ENSMUSG00000094330	ENSMUST00000117002
ENSMUSG00000091123	ENSMUST00000168856
ENSMUSG00000094338	ENSMUST00000091756
ENSMUSG00000091129	ENSMUST00000171091
ENSMUSG00000065328	ENSMUST00000083394
ENSMUSG00000065329	ENSMUST00000083395
ENSMUSG00000065322	ENSMUST00000083388
ENSMUSG00000065320	ENSMUST00000083386
ENSMUSG00000065321	ENSMUST00000083387
ENSMUSG00000065327	ENSMUST00000083393
ENSMUSG00000047203	ENSMUST00000058039
ENSMUSG00000047207	ENSMUST00000061669
ENSMUSG00000088162	ENSMUST00000157537
ENSMUSG00000102507	ENSMUST00000195678
ENSMUSG00000097973	ENSMUST00000182021
ENSMUSG00000097970	ENSMUST00000182303
ENSMUSG00000097975	ENSMUST00000182695
ENSMUSG00000088169	ENSMUST00000157544
ENSMUSG00000053279	ENSMUST00000087638
ENSMUSG00000102503	ENSMUST00000191996
ENSMUSG00000092027	ENSMUST00000166987
ENSMUSG00000046490	ENSMUST00000065213
ENSMUSG00000068324	ENSMUST00000089635
ENSMUSG00000046999	ENSMUST00000054551
ENSMUSG00000106388	ENSMUST00000197804
ENSMUSG00000106389	ENSMUST00000196930
ENSMUSG00000106384	ENSMUST00000200180
ENSMUSG00000106385	ENSMUST00000199676
ENSMUSG00000106386	ENSMUST00000196468
ENSMUSG00000106387	ENSMUST00000199760
ENSMUSG00000106380	ENSMUST00000196113
ENSMUSG00000106381	ENSMUST00000200279
ENSMUSG00000106382	ENSMUST00000199078
ENSMUSG00000106383	ENSMUST00000200640
ENSMUSG00000064493	ENSMUST00000082559
ENSMUSG00000064492	ENSMUST00000082558
ENSMUSG00000064491	ENSMUST00000082557
ENSMUSG00000064490	ENSMUST00000082556
ENSMUSG00000064496	ENSMUST00000082562
ENSMUSG00000063447	ENSMUST00000072578
ENSMUSG00000076946	ENSMUST00000103758
ENSMUSG00000076944	ENSMUST00000103756
ENSMUSG00000104319	ENSMUST00000193466
ENSMUSG00000076948	ENSMUST00000103760
ENSMUSG00000076949	ENSMUST00000103761
ENSMUSG00000100979	ENSMUST00000186695
ENSMUSG00000100978	ENSMUST00000189184
ENSMUSG00000100971	ENSMUST00000187496
ENSMUSG00000100970	ENSMUST00000188071
ENSMUSG00000100973	ENSMUST00000185609
ENSMUSG00000100972	ENSMUST00000185924
ENSMUSG00000100975	ENSMUST00000185486
ENSMUSG00000100974	ENSMUST00000191319
ENSMUSG00000100977	ENSMUST00000190334
ENSMUSG00000100976	ENSMUST00000186579
ENSMUSG00000092474	ENSMUST00000173648
ENSMUSG00000092476	ENSMUST00000174235
ENSMUSG00000092477	ENSMUST00000173316
ENSMUSG00000092470	ENSMUST00000150068
ENSMUSG00000066592	ENSMUST00000085631
ENSMUSG00000092472	ENSMUST00000173064
ENSMUSG00000092473	ENSMUST00000173816
ENSMUSG00000019932	ENSMUST00000105286
ENSMUSG00000100888	ENSMUST00000191188
ENSMUSG00000084734	ENSMUST00000122785
ENSMUSG00000103778	ENSMUST00000195431
ENSMUSG00000103779	ENSMUST00000192997
ENSMUSG00000103776	ENSMUST00000194966
ENSMUSG00000103777	ENSMUST00000178752
ENSMUSG00000103774	ENSMUST00000195226
ENSMUSG00000070464	ENSMUST00000094226
ENSMUSG00000103772	ENSMUST00000194945
ENSMUSG00000070462	ENSMUST00000094216
ENSMUSG00000103771	ENSMUST00000192007
ENSMUSG00000053490	ENSMUST00000048565
ENSMUSG00000084737	ENSMUST00000122788
ENSMUSG00000053499	ENSMUST00000065956
ENSMUSG00000084731	ENSMUST00000122782
ENSMUSG00000107478	ENSMUST00000129411
ENSMUSG00000107475	ENSMUST00000204520
ENSMUSG00000107474	ENSMUST00000204499
ENSMUSG00000107477	ENSMUST00000204933
ENSMUSG00000107471	ENSMUST00000204658
ENSMUSG00000107470	ENSMUST00000203929
ENSMUSG00000107473	ENSMUST00000203456
ENSMUSG00000107472	ENSMUST00000203631
ENSMUSG00000054727	ENSMUST00000067940
ENSMUSG00000084739	ENSMUST00000122790
ENSMUSG00000099253	ENSMUST00000184700
ENSMUSG00000099252	ENSMUST00000183559
ENSMUSG00000099255	ENSMUST00000184521
ENSMUSG00000099254	ENSMUST00000183566
ENSMUSG00000099257	ENSMUST00000183870
ENSMUSG00000099256	ENSMUST00000183951
ENSMUSG00000099259	ENSMUST00000185099
ENSMUSG00000099258	ENSMUST00000184595
ENSMUSG00000096209	ENSMUST00000076289
ENSMUSG00000096208	ENSMUST00000178475
ENSMUSG00000062794	ENSMUST00000086281
ENSMUSG00000062793	ENSMUST00000102622
ENSMUSG00000062791	ENSMUST00000096332
ENSMUSG00000024601	ENSMUST00000025503
ENSMUSG00000062426	ENSMUST00000077210
ENSMUSG00000043295	ENSMUST00000129517
ENSMUSG00000101730	ENSMUST00000186767
ENSMUSG00000091460	ENSMUST00000082002
ENSMUSG00000101733	ENSMUST00000188018
ENSMUSG00000101735	ENSMUST00000187360
ENSMUSG00000101736	ENSMUST00000188361
ENSMUSG00000101737	ENSMUST00000188127
ENSMUSG00000101738	ENSMUST00000187966
ENSMUSG00000101739	ENSMUST00000190232
ENSMUSG00000055891	ENSMUST00000052853
ENSMUSG00000108012	ENSMUST00000204154
ENSMUSG00000108013	ENSMUST00000203382
ENSMUSG00000108010	ENSMUST00000203855
ENSMUSG00000108011	ENSMUST00000204223
ENSMUSG00000108016	ENSMUST00000204758
ENSMUSG00000108017	ENSMUST00000204745
ENSMUSG00000108018	ENSMUST00000203737
ENSMUSG00000108019	ENSMUST00000203525
ENSMUSG00000060499	ENSMUST00000081908
ENSMUSG00000097155	ENSMUST00000181400
ENSMUSG00000097157	ENSMUST00000181874
ENSMUSG00000097150	ENSMUST00000181802
ENSMUSG00000097151	ENSMUST00000181087
ENSMUSG00000097152	ENSMUST00000181141
ENSMUSG00000097158	ENSMUST00000180943
ENSMUSG00000097159	ENSMUST00000181279
ENSMUSG00000031919	ENSMUST00000034393
ENSMUSG00000049349	ENSMUST00000053318
ENSMUSG00000038630	ENSMUST00000107554
ENSMUSG00000030350	ENSMUST00000032500
ENSMUSG00000104818	ENSMUST00000199099
ENSMUSG00000104819	ENSMUST00000199440
ENSMUSG00000104816	ENSMUST00000200442
ENSMUSG00000104817	ENSMUST00000196301
ENSMUSG00000104814	ENSMUST00000196287
ENSMUSG00000104815	ENSMUST00000199855
ENSMUSG00000104812	ENSMUST00000197469
ENSMUSG00000104813	ENSMUST00000196157
ENSMUSG00000104810	ENSMUST00000198419
ENSMUSG00000104811	ENSMUST00000197751
ENSMUSG00000073460	ENSMUST00000163394
ENSMUSG00000084612	ENSMUST00000122663
ENSMUSG00000049699	ENSMUST00000052724
ENSMUSG00000089226	ENSMUST00000158601
ENSMUSG00000049691	ENSMUST00000060820
ENSMUSG00000049692	ENSMUST00000055421
ENSMUSG00000043068	ENSMUST00000055257
ENSMUSG00000056815	ENSMUST00000074894
ENSMUSG00000043061	ENSMUST00000057151
ENSMUSG00000043060	ENSMUST00000059833
ENSMUSG00000043066	ENSMUST00000060374
ENSMUSG00000022257	ENSMUST00000022867
ENSMUSG00000029282	ENSMUST00000073363
ENSMUSG00000082961	ENSMUST00000119124
ENSMUSG00000096425	ENSMUST00000178626
ENSMUSG00000028885	ENSMUST00000030709
ENSMUSG00000088218	ENSMUST00000157593
ENSMUSG00000088217	ENSMUST00000157592
ENSMUSG00000088213	ENSMUST00000157588
ENSMUSG00000088212	ENSMUST00000157587
ENSMUSG00000034634	ENSMUST00000040404
ENSMUSG00000088210	ENSMUST00000157585
ENSMUSG00000102410	ENSMUST00000192526
ENSMUSG00000102411	ENSMUST00000194508
ENSMUSG00000102413	ENSMUST00000192957
ENSMUSG00000102414	ENSMUST00000191612
ENSMUSG00000102415	ENSMUST00000195666
ENSMUSG00000102417	ENSMUST00000194889
ENSMUSG00000102418	ENSMUST00000179976
ENSMUSG00000102419	ENSMUST00000194281
ENSMUSG00000079737	ENSMUST00000035426
ENSMUSG00000034987	ENSMUST00000038101
ENSMUSG00000034981	ENSMUST00000040576
ENSMUSG00000032671	ENSMUST00000040374
ENSMUSG00000074156	ENSMUST00000145041
ENSMUSG00000045052	ENSMUST00000051277
ENSMUSG00000045053	ENSMUST00000051482
ENSMUSG00000086193	ENSMUST00000129337
ENSMUSG00000082964	ENSMUST00000117813
ENSMUSG00000087296	ENSMUST00000133599
ENSMUSG00000087294	ENSMUST00000132692
ENSMUSG00000087293	ENSMUST00000154616
ENSMUSG00000087298	ENSMUST00000119337
ENSMUSG00000087299	ENSMUST00000138426
ENSMUSG00000088969	ENSMUST00000158344
ENSMUSG00000088964	ENSMUST00000158339
ENSMUSG00000088966	ENSMUST00000158341
ENSMUSG00000088961	ENSMUST00000158336
ENSMUSG00000088960	ENSMUST00000158335
ENSMUSG00000007338	ENSMUST00000007482
ENSMUSG00000088385	ENSMUST00000157760
ENSMUSG00000086527	ENSMUST00000124853
ENSMUSG00000086525	ENSMUST00000125181
ENSMUSG00000086524	ENSMUST00000128361
ENSMUSG00000086523	ENSMUST00000142804
ENSMUSG00000086522	ENSMUST00000145987
ENSMUSG00000086521	ENSMUST00000117414
ENSMUSG00000086529	ENSMUST00000148685
ENSMUSG00000086528	ENSMUST00000146887
ENSMUSG00000075286	ENSMUST00000100016
ENSMUSG00000075288	ENSMUST00000100019
ENSMUSG00000075289	ENSMUST00000167055
ENSMUSG00000024941	ENSMUST00000025890
ENSMUSG00000024943	ENSMUST00000087556
ENSMUSG00000079614	ENSMUST00000025421
ENSMUSG00000087432	ENSMUST00000138988
ENSMUSG00000087433	ENSMUST00000148705
ENSMUSG00000087430	ENSMUST00000146769
ENSMUSG00000087431	ENSMUST00000139469
ENSMUSG00000087436	ENSMUST00000141168
ENSMUSG00000087434	ENSMUST00000145652
ENSMUSG00000087435	ENSMUST00000134920
ENSMUSG00000083687	ENSMUST00000117590
ENSMUSG00000051728	ENSMUST00000062638
ENSMUSG00000080808	ENSMUST00000122013
ENSMUSG00000080809	ENSMUST00000117141
ENSMUSG00000080802	ENSMUST00000119552
ENSMUSG00000080803	ENSMUST00000117528
ENSMUSG00000080800	ENSMUST00000121041
ENSMUSG00000080801	ENSMUST00000120962
ENSMUSG00000080806	ENSMUST00000119518
ENSMUSG00000080807	ENSMUST00000120894
ENSMUSG00000080805	ENSMUST00000118565
ENSMUSG00000106595	ENSMUST00000199263
ENSMUSG00000090665	ENSMUST00000167243
ENSMUSG00000102524	ENSMUST00000195325
ENSMUSG00000051098	ENSMUST00000057598
ENSMUSG00000051095	ENSMUST00000062229
ENSMUSG00000091821	ENSMUST00000171714
ENSMUSG00000082523	ENSMUST00000118299
ENSMUSG00000082520	ENSMUST00000118436
ENSMUSG00000082527	ENSMUST00000122390
ENSMUSG00000082526	ENSMUST00000119340
ENSMUSG00000082524	ENSMUST00000121256
ENSMUSG00000044231	ENSMUST00000052747
ENSMUSG00000082529	ENSMUST00000118691
ENSMUSG00000082528	ENSMUST00000120832
ENSMUSG00000046934	ENSMUST00000056085
ENSMUSG00000083680	ENSMUST00000118866
ENSMUSG00000107332	ENSMUST00000201362
ENSMUSG00000026548	ENSMUST00000027830
ENSMUSG00000107333	ENSMUST00000202346
ENSMUSG00000026542	ENSMUST00000027824
ENSMUSG00000026544	ENSMUST00000027826
ENSMUSG00000059395	ENSMUST00000068235
ENSMUSG00000059397	ENSMUST00000072152
ENSMUSG00000102527	ENSMUST00000195004
ENSMUSG00000100104	ENSMUST00000122039
ENSMUSG00000100105	ENSMUST00000190032
ENSMUSG00000107334	ENSMUST00000200918
ENSMUSG00000100107	ENSMUST00000190270
ENSMUSG00000083682	ENSMUST00000118453
ENSMUSG00000100108	ENSMUST00000186560
ENSMUSG00000095809	ENSMUST00000099616
ENSMUSG00000095802	ENSMUST00000178205
ENSMUSG00000095803	ENSMUST00000179588
ENSMUSG00000095804	ENSMUST00000074161
ENSMUSG00000095805	ENSMUST00000178290
ENSMUSG00000095806	ENSMUST00000105209
ENSMUSG00000095807	ENSMUST00000179024
ENSMUSG00000098328	ENSMUST00000183509
ENSMUSG00000098329	ENSMUST00000183975
ENSMUSG00000098326	ENSMUST00000184182
ENSMUSG00000098327	ENSMUST00000184840
ENSMUSG00000098325	ENSMUST00000184632
ENSMUSG00000098322	ENSMUST00000184288
ENSMUSG00000098323	ENSMUST00000184318
ENSMUSG00000098320	ENSMUST00000183957
ENSMUSG00000079626	ENSMUST00000115156
ENSMUSG00000081847	ENSMUST00000117114
ENSMUSG00000089607	ENSMUST00000158982
ENSMUSG00000089606	ENSMUST00000158981
ENSMUSG00000089605	ENSMUST00000158980
ENSMUSG00000084276	ENSMUST00000121261
ENSMUSG00000089603	ENSMUST00000158978
ENSMUSG00000084270	ENSMUST00000120491
ENSMUSG00000089601	ENSMUST00000158976
ENSMUSG00000084272	ENSMUST00000119586
ENSMUSG00000084279	ENSMUST00000121816
ENSMUSG00000046402	ENSMUST00000052068
ENSMUSG00000089609	ENSMUST00000158984
ENSMUSG00000096140	ENSMUST00000178772
ENSMUSG00000002057	ENSMUST00000108294
ENSMUSG00000096144	ENSMUST00000178161
ENSMUSG00000088554	ENSMUST00000157929
ENSMUSG00000088555	ENSMUST00000157930
ENSMUSG00000083728	ENSMUST00000121183
ENSMUSG00000083729	ENSMUST00000121498
ENSMUSG00000088550	ENSMUST00000157925
ENSMUSG00000088551	ENSMUST00000157926
ENSMUSG00000088552	ENSMUST00000157927
ENSMUSG00000088553	ENSMUST00000157928
ENSMUSG00000083722	ENSMUST00000118797
ENSMUSG00000083723	ENSMUST00000118777
ENSMUSG00000083720	ENSMUST00000118690
ENSMUSG00000088559	ENSMUST00000157934
ENSMUSG00000083725	ENSMUST00000118093
ENSMUSG00000081388	ENSMUST00000117807
ENSMUSG00000081389	ENSMUST00000122443
ENSMUSG00000081382	ENSMUST00000121555
ENSMUSG00000081383	ENSMUST00000120764
ENSMUSG00000081381	ENSMUST00000117771
ENSMUSG00000081386	ENSMUST00000120553
ENSMUSG00000081384	ENSMUST00000121657
ENSMUSG00000083178	ENSMUST00000119584
ENSMUSG00000085553	ENSMUST00000129259
ENSMUSG00000080383	ENSMUST00000116733
ENSMUSG00000080384	ENSMUST00000116734
ENSMUSG00000085552	ENSMUST00000124692
ENSMUSG00000107673	ENSMUST00000203723
ENSMUSG00000107672	ENSMUST00000203603
ENSMUSG00000107671	ENSMUST00000203637
ENSMUSG00000084492	ENSMUST00000122543
ENSMUSG00000107677	ENSMUST00000203731
ENSMUSG00000107676	ENSMUST00000205229
ENSMUSG00000107675	ENSMUST00000204221
ENSMUSG00000107674	ENSMUST00000205128
ENSMUSG00000095376	ENSMUST00000177995
ENSMUSG00000084498	ENSMUST00000122549
ENSMUSG00000107679	ENSMUST00000203246
ENSMUSG00000107678	ENSMUST00000204697
ENSMUSG00000095372	ENSMUST00000178010
ENSMUSG00000095373	ENSMUST00000060879
ENSMUSG00000078137	ENSMUST00000104937
ENSMUSG00000082899	ENSMUST00000119607
ENSMUSG00000082898	ENSMUST00000121606
ENSMUSG00000082893	ENSMUST00000121346
ENSMUSG00000082892	ENSMUST00000122338
ENSMUSG00000082891	ENSMUST00000121191
ENSMUSG00000082890	ENSMUST00000120742
ENSMUSG00000082897	ENSMUST00000121480
ENSMUSG00000082896	ENSMUST00000119417
ENSMUSG00000082895	ENSMUST00000120702
ENSMUSG00000082894	ENSMUST00000121552
ENSMUSG00000094670	ENSMUST00000178731
ENSMUSG00000099495	ENSMUST00000185634
ENSMUSG00000099493	ENSMUST00000187240
ENSMUSG00000099492	ENSMUST00000190438
ENSMUSG00000099491	ENSMUST00000185478
ENSMUSG00000099490	ENSMUST00000186270
ENSMUSG00000097382	ENSMUST00000180446
ENSMUSG00000098553	ENSMUST00000185080
ENSMUSG00000099499	ENSMUST00000188357
ENSMUSG00000099498	ENSMUST00000187394
ENSMUSG00000092066	ENSMUST00000167922
ENSMUSG00000019261	ENSMUST00000019405
ENSMUSG00000096779	ENSMUST00000117032
ENSMUSG00000096776	ENSMUST00000177783
ENSMUSG00000096775	ENSMUST00000096184
ENSMUSG00000086472	ENSMUST00000156224
ENSMUSG00000096773	ENSMUST00000073102
ENSMUSG00000096772	ENSMUST00000177756
ENSMUSG00000096771	ENSMUST00000103976
ENSMUSG00000096770	ENSMUST00000179568
ENSMUSG00000101537	ENSMUST00000191547
ENSMUSG00000101534	ENSMUST00000191366
ENSMUSG00000101535	ENSMUST00000188284
ENSMUSG00000101532	ENSMUST00000186734
ENSMUSG00000101530	ENSMUST00000186396
ENSMUSG00000101538	ENSMUST00000190520
ENSMUSG00000022052	ENSMUST00000089230
ENSMUSG00000022055	ENSMUST00000022639
ENSMUSG00000022057	ENSMUST00000022641
ENSMUSG00000097233	ENSMUST00000181211
ENSMUSG00000101288	ENSMUST00000190308
ENSMUSG00000101289	ENSMUST00000185571
ENSMUSG00000097232	ENSMUST00000180418
ENSMUSG00000101280	ENSMUST00000186320
ENSMUSG00000086237	ENSMUST00000138539
ENSMUSG00000101284	ENSMUST00000190650
ENSMUSG00000101286	ENSMUST00000185636
ENSMUSG00000101287	ENSMUST00000187637
ENSMUSG00000079773	ENSMUST00000115907
ENSMUSG00000079774	ENSMUST00000115912
ENSMUSG00000065950	ENSMUST00000084017
ENSMUSG00000065956	ENSMUST00000084040
ENSMUSG00000108153	ENSMUST00000203677
ENSMUSG00000108152	ENSMUST00000205007
ENSMUSG00000108151	ENSMUST00000204791
ENSMUSG00000108150	ENSMUST00000203913
ENSMUSG00000081817	ENSMUST00000120183
ENSMUSG00000108155	ENSMUST00000204396
ENSMUSG00000108154	ENSMUST00000203699
ENSMUSG00000097425	ENSMUST00000181796
ENSMUSG00000097426	ENSMUST00000181451
